Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 5113.62it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.82it/s]
Iter 1: Val loss 3.053, Val took 0.103s
Iter 141: Train loss 0.034, Learning Rate 1.000e-04, It/sec 7.370, Tokens/sec 228.456, Trained Tokens 8505, Peak mem 1.893 GB
Iter 142: Train loss 0.019, Learning Rate 1.000e-04, It/sec 6.790, Tokens/sec 522.808, Trained Tokens 8582, Peak mem 1.893 GB
Iter 143: Train loss 0.019, Learning Rate 1.000e-04, It/sec 6.899, Tokens/sec 531.233, Trained Tokens 8659, Peak mem 1.893 GB
Iter 144: Train loss 0.098, Learning Rate 1.000e-04, It/sec 5.614, Tokens/sec 735.476, Trained Tokens 8790, Peak mem 1.893 GB
Iter 145: Train loss 0.138, Learning Rate 1.000e-04, It/sec 6.136, Tokens/sec 300.663, Trained Tokens 8839, Peak mem 1.893 GB
Iter 146: Train loss 0.087, Learning Rate 1.000e-04, It/sec 6.070, Tokens/sec 430.963, Trained Tokens 8910, Peak mem 1.893 GB
Iter 147: Train loss 0.063, Learning Rate 1.000e-04, It/sec 6.811, Tokens/sec 204.324, Trained Tokens 8940, Peak mem 1.893 GB
Iter 148: Train loss 0.129, Learning Rate 1.000e-04, It/sec 6.052, Tokens/sec 284.425, Trained Tokens 8987, Peak mem 1.893 GB
Iter 149: Train loss 0.045, Learning Rate 1.000e-04, It/sec 4.740, Tokens/sec 620.950, Trained Tokens 9118, Peak mem 1.893 GB
Iter 150: Train loss 0.051, Learning Rate 1.000e-04, It/sec 6.739, Tokens/sec 343.690, Trained Tokens 9169, Peak mem 1.893 GB
Iter 151: Train loss 0.009, Learning Rate 1.000e-04, It/sec 6.775, Tokens/sec 521.655, Trained Tokens 9246, Peak mem 1.893 GB
Iter 152: Train loss 0.130, Learning Rate 1.000e-04, It/sec 7.357, Tokens/sec 228.065, Trained Tokens 9277, Peak mem 1.893 GB
Iter 153: Train loss 0.007, Learning Rate 1.000e-04, It/sec 6.720, Tokens/sec 517.476, Trained Tokens 9354, Peak mem 1.893 GB
Iter 154: Train loss 0.050, Learning Rate 1.000e-04, It/sec 5.052, Tokens/sec 459.756, Trained Tokens 9445, Peak mem 1.893 GB
Iter 155: Train loss 0.092, Learning Rate 1.000e-04, It/sec 6.798, Tokens/sec 210.743, Trained Tokens 9476, Peak mem 1.893 GB
Iter 156: Train loss 0.095, Learning Rate 1.000e-04, It/sec 6.688, Tokens/sec 441.385, Trained Tokens 9542, Peak mem 1.893 GB
Iter 157: Train loss 0.142, Learning Rate 1.000e-04, It/sec 6.136, Tokens/sec 190.203, Trained Tokens 9573, Peak mem 1.893 GB
Iter 158: Train loss 0.006, Learning Rate 1.000e-04, It/sec 6.663, Tokens/sec 513.029, Trained Tokens 9650, Peak mem 1.893 GB
Iter 159: Train loss 0.167, Learning Rate 1.000e-04, It/sec 6.785, Tokens/sec 210.338, Trained Tokens 9681, Peak mem 1.893 GB
Iter 160: Train loss 0.007, Learning Rate 1.000e-04, It/sec 5.380, Tokens/sec 414.297, Trained Tokens 9758, Peak mem 1.893 GB
Iter 161: Train loss 0.135, Learning Rate 1.000e-04, It/sec 4.572, Tokens/sec 571.549, Trained Tokens 9883, Peak mem 1.893 GB
Iter 162: Train loss 0.039, Learning Rate 1.000e-04, It/sec 5.005, Tokens/sec 655.682, Trained Tokens 10014, Peak mem 1.893 GB
Iter 163: Train loss 0.070, Learning Rate 1.000e-04, It/sec 6.624, Tokens/sec 198.714, Trained Tokens 10044, Peak mem 1.893 GB
Iter 164: Train loss 0.005, Learning Rate 1.000e-04, It/sec 6.707, Tokens/sec 516.404, Trained Tokens 10121, Peak mem 1.893 GB
Iter 165: Train loss 0.137, Learning Rate 1.000e-04, It/sec 6.010, Tokens/sec 306.486, Trained Tokens 10172, Peak mem 1.893 GB
Iter 166: Train loss 0.005, Learning Rate 1.000e-04, It/sec 6.733, Tokens/sec 518.421, Trained Tokens 10249, Peak mem 1.893 GB
Iter 167: Train loss 0.100, Learning Rate 1.000e-04, It/sec 5.461, Tokens/sec 278.506, Trained Tokens 10300, Peak mem 1.893 GB
Iter 168: Train loss 0.005, Learning Rate 1.000e-04, It/sec 6.568, Tokens/sec 505.750, Trained Tokens 10377, Peak mem 1.893 GB
Iter 169: Train loss 0.172, Learning Rate 1.000e-04, It/sec 5.544, Tokens/sec 393.646, Trained Tokens 10448, Peak mem 1.893 GB
Iter 170: Train loss 0.030, Learning Rate 1.000e-04, It/sec 6.040, Tokens/sec 398.633, Trained Tokens 10514, Peak mem 1.893 GB
Iter 171: Train loss 0.006, Learning Rate 1.000e-04, It/sec 6.790, Tokens/sec 522.802, Trained Tokens 10591, Peak mem 1.893 GB
Iter 172: Train loss 0.065, Learning Rate 1.000e-04, It/sec 5.516, Tokens/sec 171.011, Trained Tokens 10622, Peak mem 1.893 GB
Iter 173: Train loss 0.066, Learning Rate 1.000e-04, It/sec 5.695, Tokens/sec 518.272, Trained Tokens 10713, Peak mem 1.893 GB
