Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4878.36it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 288

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.90it/s]
Iter 1: Val loss 3.053, Val took 0.099s
Iter 103: Train loss 0.152, Learning Rate 1.000e-04, It/sec 4.897, Tokens/sec 323.169, Trained Tokens 5862, Peak mem 1.931 GB
Iter 104: Train loss 0.243, Learning Rate 1.000e-04, It/sec 6.042, Tokens/sec 187.291, Trained Tokens 5893, Peak mem 1.931 GB
Iter 105: Train loss 0.125, Learning Rate 1.000e-04, It/sec 6.053, Tokens/sec 399.523, Trained Tokens 5959, Peak mem 1.931 GB
Iter 106: Train loss 0.168, Learning Rate 1.000e-04, It/sec 6.009, Tokens/sec 426.636, Trained Tokens 6030, Peak mem 1.931 GB
Iter 107: Train loss 0.062, Learning Rate 1.000e-04, It/sec 6.042, Tokens/sec 296.040, Trained Tokens 6079, Peak mem 1.931 GB
Iter 108: Train loss 0.106, Learning Rate 1.000e-04, It/sec 6.730, Tokens/sec 208.640, Trained Tokens 6110, Peak mem 1.931 GB
Iter 109: Train loss 0.068, Learning Rate 1.000e-04, It/sec 7.445, Tokens/sec 230.797, Trained Tokens 6141, Peak mem 1.931 GB
Iter 110: Train loss 0.160, Learning Rate 1.000e-04, It/sec 5.976, Tokens/sec 304.776, Trained Tokens 6192, Peak mem 1.931 GB
Iter 111: Train loss 0.106, Learning Rate 1.000e-04, It/sec 5.612, Tokens/sec 286.229, Trained Tokens 6243, Peak mem 1.931 GB
Iter 112: Train loss 0.054, Learning Rate 1.000e-04, It/sec 6.018, Tokens/sec 186.571, Trained Tokens 6274, Peak mem 1.931 GB
Iter 113: Train loss 0.057, Learning Rate 1.000e-04, It/sec 6.766, Tokens/sec 209.733, Trained Tokens 6305, Peak mem 1.931 GB
Iter 114: Train loss 0.108, Learning Rate 1.000e-04, It/sec 6.822, Tokens/sec 204.666, Trained Tokens 6335, Peak mem 1.931 GB
Iter 115: Train loss 0.065, Learning Rate 1.000e-04, It/sec 7.451, Tokens/sec 223.524, Trained Tokens 6365, Peak mem 1.931 GB
Iter 116: Train loss 0.062, Learning Rate 1.000e-04, It/sec 6.541, Tokens/sec 196.215, Trained Tokens 6395, Peak mem 1.931 GB
Iter 117: Train loss 0.049, Learning Rate 1.000e-04, It/sec 6.855, Tokens/sec 212.506, Trained Tokens 6426, Peak mem 1.931 GB
Iter 118: Train loss 0.116, Learning Rate 1.000e-04, It/sec 6.046, Tokens/sec 302.297, Trained Tokens 6476, Peak mem 1.931 GB
Iter 119: Train loss 0.028, Learning Rate 1.000e-04, It/sec 7.346, Tokens/sec 220.394, Trained Tokens 6506, Peak mem 1.931 GB
Iter 120: Train loss 0.140, Learning Rate 1.000e-04, It/sec 6.020, Tokens/sec 294.990, Trained Tokens 6555, Peak mem 1.931 GB
Iter 121: Train loss 0.109, Learning Rate 1.000e-04, It/sec 5.636, Tokens/sec 174.704, Trained Tokens 6586, Peak mem 1.931 GB
Iter 122: Train loss 0.056, Learning Rate 1.000e-04, It/sec 7.394, Tokens/sec 229.212, Trained Tokens 6617, Peak mem 1.931 GB
Iter 123: Train loss 0.206, Learning Rate 1.000e-04, It/sec 5.156, Tokens/sec 448.551, Trained Tokens 6704, Peak mem 1.931 GB
Iter 124: Train loss 0.152, Learning Rate 1.000e-04, It/sec 6.726, Tokens/sec 343.037, Trained Tokens 6755, Peak mem 1.931 GB
Iter 125: Train loss 0.017, Learning Rate 1.000e-04, It/sec 7.479, Tokens/sec 224.358, Trained Tokens 6785, Peak mem 1.931 GB
Iter 126: Train loss 0.108, Learning Rate 1.000e-04, It/sec 5.686, Tokens/sec 278.632, Trained Tokens 6834, Peak mem 1.931 GB
Iter 127: Train loss 0.014, Learning Rate 1.000e-04, It/sec 7.405, Tokens/sec 222.150, Trained Tokens 6864, Peak mem 1.931 GB
Iter 128: Train loss 0.159, Learning Rate 1.000e-04, It/sec 6.030, Tokens/sec 186.939, Trained Tokens 6895, Peak mem 1.931 GB
Iter 129: Train loss 0.283, Learning Rate 1.000e-04, It/sec 6.144, Tokens/sec 301.079, Trained Tokens 6944, Peak mem 1.931 GB
Iter 130: Train loss 0.129, Learning Rate 1.000e-04, It/sec 7.441, Tokens/sec 223.245, Trained Tokens 6974, Peak mem 1.931 GB
Iter 131: Train loss 0.190, Learning Rate 1.000e-04, It/sec 5.647, Tokens/sec 739.810, Trained Tokens 7105, Peak mem 1.931 GB
Iter 132: Train loss 0.272, Learning Rate 1.000e-04, It/sec 4.905, Tokens/sec 152.059, Trained Tokens 7136, Peak mem 1.931 GB
Iter 133: Train loss 0.208, Learning Rate 1.000e-04, It/sec 7.403, Tokens/sec 229.491, Trained Tokens 7167, Peak mem 1.931 GB
Iter 134: Train loss 0.139, Learning Rate 1.000e-04, It/sec 5.608, Tokens/sec 398.167, Trained Tokens 7238, Peak mem 1.931 GB
Iter 135: Train loss 0.029, Learning Rate 1.000e-04, It/sec 6.825, Tokens/sec 211.588, Trained Tokens 7269, Peak mem 1.931 GB
Iter 136: Train loss 0.131, Learning Rate 1.000e-04, It/sec 7.299, Tokens/sec 372.233, Trained Tokens 7320, Peak mem 1.931 GB
Iter 137: Train loss 0.098, Learning Rate 1.000e-04, It/sec 5.047, Tokens/sec 459.286, Trained Tokens 7411, Peak mem 1.931 GB
Iter 138: Train loss 0.125, Learning Rate 1.000e-04, It/sec 4.745, Tokens/sec 621.655, Trained Tokens 7542, Peak mem 1.931 GB
Iter 139: Train loss 0.153, Learning Rate 1.000e-04, It/sec 4.145, Tokens/sec 439.327, Trained Tokens 7648, Peak mem 1.931 GB
Iter 140: Train loss 0.037, Learning Rate 1.000e-04, It/sec 6.506, Tokens/sec 195.190, Trained Tokens 7678, Peak mem 1.931 GB
Iter 141: Train loss 0.145, Learning Rate 1.000e-04, It/sec 5.316, Tokens/sec 271.126, Trained Tokens 7729, Peak mem 1.931 GB
Iter 142: Train loss 0.148, Learning Rate 1.000e-04, It/sec 5.606, Tokens/sec 285.910, Trained Tokens 7780, Peak mem 1.931 GB
Iter 143: Train loss 0.087, Learning Rate 1.000e-04, It/sec 5.537, Tokens/sec 166.101, Trained Tokens 7810, Peak mem 1.931 GB
Iter 144: Train loss 0.056, Learning Rate 1.000e-04, It/sec 7.271, Tokens/sec 218.137, Trained Tokens 7840, Peak mem 1.931 GB
Iter 145: Train loss 0.088, Learning Rate 1.000e-04, It/sec 6.695, Tokens/sec 341.456, Trained Tokens 7891, Peak mem 1.931 GB
Iter 146: Train loss 0.211, Learning Rate 1.000e-04, It/sec 6.125, Tokens/sec 434.910, Trained Tokens 7962, Peak mem 1.931 GB
Iter 147: Train loss 0.075, Learning Rate 1.000e-04, It/sec 5.552, Tokens/sec 505.226, Trained Tokens 8053, Peak mem 1.931 GB
Iter 148: Train loss 0.117, Learning Rate 1.000e-04, It/sec 7.297, Tokens/sec 211.609, Trained Tokens 8082, Peak mem 1.931 GB
Iter 149: Train loss 0.204, Learning Rate 1.000e-04, It/sec 7.678, Tokens/sec 222.655, Trained Tokens 8111, Peak mem 1.931 GB
Iter 150: Train loss 0.088, Learning Rate 1.000e-04, It/sec 5.167, Tokens/sec 470.208, Trained Tokens 8202, Peak mem 1.931 GB
Iter 151: Train loss 0.065, Learning Rate 1.000e-04, It/sec 7.440, Tokens/sec 230.630, Trained Tokens 8233, Peak mem 1.931 GB
Iter 152: Train loss 0.113, Learning Rate 1.000e-04, It/sec 5.991, Tokens/sec 281.584, Trained Tokens 8280, Peak mem 1.931 GB
Iter 153: Train loss 0.139, Learning Rate 1.000e-04, It/sec 6.041, Tokens/sec 308.099, Trained Tokens 8331, Peak mem 1.931 GB
Iter 154: Train loss 0.060, Learning Rate 1.000e-04, It/sec 6.810, Tokens/sec 347.299, Trained Tokens 8382, Peak mem 1.931 GB
