Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4111.17it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 72

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Iter 1: Val loss 3.053, Val took 0.357s
Iter 69: Train loss 0.072, Learning Rate 1.000e-04, It/sec 7.494, Tokens/sec 217.335, Trained Tokens 4193, Peak mem 1.877 GB
Iter 70: Train loss 0.052, Learning Rate 1.000e-04, It/sec 6.841, Tokens/sec 348.878, Trained Tokens 4244, Peak mem 1.877 GB
Iter 71: Train loss 0.138, Learning Rate 1.000e-04, It/sec 6.176, Tokens/sec 407.640, Trained Tokens 4310, Peak mem 1.877 GB

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 12.73it/s]
Iter 72: Val loss 0.044, Val took 0.081s
Iter 72: Train loss 0.106, Learning Rate 1.000e-04, It/sec 6.044, Tokens/sec 296.154, Trained Tokens 4359, Peak mem 1.877 GB
Iter 72: Saved adapter weights to artifacts/efficiency/n24/adapter/adapters.safetensors and artifacts/efficiency/n24/adapter/0000072_adapters.safetensors.
Saved final weights to artifacts/efficiency/n24/adapter/adapters.safetensors.
